code;symbol;name;descr
CLP;$;Peso Chileno;Moneda oficial de Chile
USD;US$;Dolar Estadounidense;US Dollar
EUR;€;Euro;Moneda de la Unión Europea
UF;UF;Unidad de Fomento;Unidad reajustable Chile
